fold,r2,rmse,mpe,training_time,inference_time_training,num_epochs
1.0,0.9960175291308064,0.20696097562171162,0.027194126049958012,30.738027095794678,0.13339900970458984,91.0
2.0,0.9072174898064301,0.9481308006937639,0.1388802575014323,10.460202932357788,0.1320476531982422,28.0
3.0,0.9953672923625144,0.22106345819681109,0.030610670357380684,16.58072328567505,0.13183212280273438,47.0
4.0,0.9980401097760357,0.14776567351036957,0.024381504025718786,24.620039224624634,0.13006258010864258,71.0
5.0,0.9758026782669722,0.4978822494590805,0.08639740611055707,20.3218674659729,0.13092422485351562,59.0
mean,0.9744890198685517,0.4043606314963474,0.061492792809009364,20.54417200088501,0.1316531181335449,59.2
std,0.038669164926670614,0.3327302737497014,0.050290186018107114,7.713173026078931,0.001254684680412286,23.836946113124473
