fold,r2,rmse,mpe,training_time,inference_time_training,num_epochs
1.0,0.9901779620407907,0.6126713134942389,0.01684323674380237,30.590981483459473,0.2208547592163086,76.0
2.0,0.994249255667057,0.4655748972557504,0.017450579950766498,23.76147985458374,0.22896528244018555,59.0
3.0,0.9939832355946533,0.48105571401545316,0.017842286608542,39.63649129867554,0.2318558692932129,101.0
4.0,0.9358786325095969,1.5668440475842573,0.051921206503433,25.556403875350952,0.25675249099731445,60.0
5.0,0.9800889359062485,0.8755157715706939,0.03464321947400656,22.815934419631958,0.2317643165588379,54.0
mean,0.9788756043436694,0.8003323487840787,0.027740105856110087,28.472258186340333,0.23403854370117189,70.0
std,0.024711053836913015,0.45891434835065376,0.015451225936819548,6.924895789902004,0.013466715742930575,19.196353820452465
