fold,r2,rmse,mpe,training_time,inference_time_training,num_epochs
1.0,0.9706050927658052,0.5480047391850155,0.08632630118567865,18.232579231262207,0.1333324909210205,46.0
2.0,0.9940395015036865,0.2455809038474053,0.040272881477188445,19.988999128341675,0.13938474655151367,50.0
3.0,0.9930992317383412,0.26985374886478053,0.0431281964761744,20.632319688796997,0.13695836067199707,53.0
4.0,0.9940272827121495,0.25266891423428867,0.034825640055632684,33.829508781433105,0.1317460536956787,89.0
5.0,0.9938581866972477,0.2583159336530342,0.0346533971842773,25.232861042022705,0.13457918167114258,66.0
mean,0.989125859083446,0.31488484795690475,0.0478412832757903,23.583253574371337,0.1352001667022705,60.8
std,0.01036061334228911,0.1306202364827892,0.021816953296045813,6.284173420415225,0.0030168976799410255,17.455658108475888
