fold,r2,rmse,mpe,training_time,inference_time_training,num_epochs
1.0,0.9930177280371855,0.251970924376636,0.011154436948679005,26.0065016746521,0.2338399887084961,60.0
2.0,0.9617167962081742,0.589737675082261,0.030683720626700266,31.393729209899902,0.22191524505615234,75.0
3.0,0.9198287791514989,0.8923959323379276,0.04227407731919919,28.069952249526978,0.2205216884613037,67.0
4.0,0.9701674251188487,0.4844813446805371,0.03325406301947305,16.84030532836914,0.226487398147583,39.0
5.0,0.9900049866178153,0.27206171705021936,0.012398347273417012,30.86008620262146,0.2259807586669922,75.0
mean,0.9669471430267045,0.49812951870551625,0.025952929037493706,26.634114933013915,0.22574901580810547,63.2
std,0.029449985198350376,0.2625476320569064,0.01364541024134572,5.892516334510252,0.0051982089481836325,14.906374475371265
