fold,r2,rmse,mpe,training_time,inference_time_training,num_epochs
1.0,0.9987404204583603,0.2714499723264044,0.002951155196298832,20.492957592010498,0.1369340419769287,70.0
2.0,0.9960196952703254,0.4916909576691496,0.0052290666968741574,12.532307386398315,0.1337127685546875,41.0
3.0,0.9966016568856754,0.45333088982986613,0.00467199241964849,18.462667226791382,0.13090133666992188,61.0
4.0,0.965869685840631,1.448305005656826,0.01500373994723775,11.526761531829834,0.13298702239990234,37.0
5.0,0.9532490584288601,1.648068518352673,0.015565853923866993,17.602158308029175,0.1510303020477295,54.0
mean,0.9820961033767703,0.8625690687669838,0.008684361636785244,16.12337040901184,0.13711309432983398,52.6
std,0.021075812043752726,0.6353235828362652,0.006086815757713958,3.8979790341903566,0.00807609665280362,13.722244714331543
