fold,r2,rmse,mpe,training_time,inference_time_training,num_epochs
1.0,0.9777653251245948,1.5985014180774042,0.011588801126525952,37.81866979598999,0.2368755340576172,76.0
2.0,0.9686823898375535,1.9620566417997292,0.015094369262415879,23.766332864761353,0.23042654991149902,46.0
3.0,0.9689789497532755,2.056526636369057,0.024110061563883605,54.59618949890137,0.2230675220489502,114.0
4.0,0.9200894403109178,3.226570564101744,0.025847723932202613,20.112510204315186,0.25455760955810547,37.0
5.0,0.9553773985059124,2.4484433876577976,0.02664634913514523,19.4179470539093,0.255110502243042,36.0
mean,0.9581787007064507,2.258419729601146,0.020657461004034657,31.14232988357544,0.24000754356384277,61.8
std,0.022744492588488204,0.6199816746799444,0.00685409809230843,15.068016229721792,0.014390735154443645,33.379634509682695
