fold,r2,rmse,mpe,training_time,inference_time_training,num_epochs
1.0,0.972226175759082,1.9441300666675478,0.012112844525481607,35.717363357543945,0.16933035850524902,109.0
2.0,0.2882197235168562,9.707056018527547,0.11106882575056677,8.857362508773804,0.17601370811462402,24.0
3.0,0.95392927605441,2.3812633866070705,0.014480377139576363,22.496230602264404,0.16875171661376953,67.0
4.0,0.9505888741160315,2.4052891988013596,0.011254916502356936,22.251462697982788,0.16649079322814941,67.0
5.0,0.9558885409765013,2.394209888901315,0.015025624042961096,18.672216415405273,0.1629478931427002,57.0
mean,0.8241705180845763,3.766389711900968,0.03278851759218855,21.598927116394044,0.16870689392089844,64.8
std,0.2997216648547984,3.3266422031743983,0.04378839592889241,9.636834312986972,0.004792114435900295,30.36774604741024
