fold,r2,rmse,mpe,training_time,inference_time_training,num_epochs
1.0,0.9640706292518565,4.134401761394225,0.0943025500269873,15.20574140548706,0.16451215744018555,33.0
2.0,0.968230754889115,3.940057725421184,0.1805062217478624,29.96824860572815,0.16155552864074707,71.0
3.0,0.9808954099695754,2.8133387308070263,0.1390402445872121,21.96190643310547,1.560338020324707,47.0
4.0,0.9869293436952263,2.4211909475862923,0.11092753197131582,19.20283532142639,0.17509031295776367,41.0
5.0,0.9820480466021921,2.935510975902358,0.09296855245745174,19.240700006484985,0.17326903343200684,42.0
mean,0.976434836881593,3.2489000282222174,0.12354902015816586,21.11588635444641,0.44695301055908204,46.8
std,0.009768829261387894,0.7474692210946082,0.036857576667557596,5.504224941207476,0.6224273017489306,14.429137188342205
